sp	id	d	p	c	o	f	g	s
UP000694841	202946	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Apteryx	Apteryx mantelli mantelli
UP000472275	223781	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aquila	Aquila chrysaetos chrysaetos
UP000567570	54356	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aramus	Aramus guarauna
UP000560386	89386	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ardeotis	Ardeotis kori
UP000541811	54971	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Arenaria	Arenaria interpres
UP000525565	75869	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Asarcornis	Asarcornis scutulata
UP000018467	7994	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Astyanax	Astyanax mexicanus
UP000472269	194338	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Athene	Athene cunicularia
UP000518911	2478892	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Atlantisia	Atlantisia rogersi
UP000736164	7917	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Atractosteus	Atractosteus spatula
UP000658642	449594	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Atrichornis	Atrichornis clamosus
UP000192220	52670	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Austrofundulus	Austrofundulus limnaeus
UP000504639	219594	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aythya	Aythya fuligula
UP000319801	175774	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bagarius	Bagarius yarrelli
UP000528411	33584	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaeniceps	Balaeniceps rex
UP000437017	9770	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaenoptera	Balaenoptera physalus
UP000694857	9771	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaenoptera	Balaenoptera musculus
UP000261681	310752	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaenoptera	Balaenoptera acutorostrata scammoni
UP000053309	100784	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balearica	Balearica regulorum gibbericeps
UP000237246	9083	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bambusicola	Bambusicola thoracicus
UP000578343	176943	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Baryphthengus	Baryphthengus martii
UP000515208	43346	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bison	Bison bison bison
UP000532545	125297	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bombycilla	Bombycilla garrulus
UP000009136	9913	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos taurus
UP000011080	72004	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos mutus
UP000515132	9915	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos indicus
UP000314981	30522	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos indicus x Bos taurus
UP000694520	30521	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos grunniens
UP000540762	182895	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Brachypodius	Brachypodius atriceps
UP000520535	135165	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Brachypteracias	Brachypteracias leptosomus
UP000694567	30461	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bubo	Bubo bubo
UP000534107	135168	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bucco	Bucco capensis
UP000054064	175836	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Buceros	Buceros rhinoceros silvestris
UP000551127	153643	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bucorvus	Bucorvus abyssinicus
UP000566314	245048	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Buphagus	Buphagus erythrorhynchus
UP000574691	240201	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Burhinus	Burhinus bistriatus
UP000694555	224669	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Buteo	Buteo japonicus
UP000694556	1240228	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cairina	Cairina moschata domestica
UP000603627	198940	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calcarius	Calcarius ornatus
UP000694419	425635	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calidris	Calidris pygmaea
UP000576729	1347786	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callaeas	Callaeas wilsoni
UP000198323	9009	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callipepla	Callipepla squamata
UP000008225	9483	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callithrix	Callithrix jacchus
UP000314986	7868	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callorhinchus	Callorhinchus milii
UP000286641	34884	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callorhinus	Callorhinus ursinus
UP000546235	187106	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Caloenas	Caloenas nicobarica
UP000535403	1323832	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calonectris	Calonectris borealis
UP000054308	9244	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calypte	Calypte anna
UP000642973	135972	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calyptomena	Calyptomena viridis
UP000694382	87175	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Camarhynchus	Camarhynchus parvulus
UP000299084	9838	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Camelus	Camelus dromedarius
UP000030684	419612	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Camelus	Camelus ferus
UP000614027	190295	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Campylorhamphus	Campylorhamphus procurvoides
UP000694391	286419	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Canis	Canis lupus dingo
UP000002254	9615	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Canis	Canis lupus familiaris
UP000291000	9925	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Capra	Capra hircus
UP000515129	7957	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Carassius	Carassius auratus
UP000583740	98964	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cardinalis	Cardinalis cardinalis
UP000054116	54380	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cariama	Cariama cristata
UP000189704	1868482	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Carlito	Carlito syrichta
UP000694852	51338	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Castor	Castor canadensis
UP000694540	51154	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Catagonus	Catagonus wagneri
UP000053745	43455	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cathartes	Cathartes aura
UP000519684	159581	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Catharus	Catharus fuscescens
UP000694563	91951	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Catharus	Catharus ustulatus
UP000005447	10141	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cavia	Cavia porcellus
UP000233040	2715852	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cebus	Cebus imitator
UP000517892	1118519	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Centropus	Centropus unirufus
UP000543364	114276	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cephalopterus	Cephalopterus ornatus
UP000233060	9531	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cercocebus	Cercocebus atys
UP000631545	614051	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cercotrichas	Cercotrichas coryphoeus
UP000611277	73333	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Certhia	Certhia familiaris
UP000536092	73330	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Certhia	Certhia brachydactyla
UP000242450	46360	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cervus	Cervus elaphus hippelaphus
UP000631465	84702	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cervus	Cervus hanglu yarkandensis
UP000524451	68486	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cettia	Cettia cetti
UP000519239	1961834	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ceuthmochares	Ceuthmochares aereus
UP000586704	390723	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ceyx	Ceyx cyanopectus
UP000563107	221966	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chaetops	Chaetops frenatus
UP000541605	254446	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chaetorhynchus	Chaetorhynchus papuensis
UP000031515	8897	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chaetura	Chaetura pelagica
UP000503349	215402	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Channa	Channa argus
UP000504632	29144	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chanos	Chanos chanos
UP000053858	50402	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Charadrius	Charadrius vociferus
UP000537522	30388	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chauna	Chauna torquata
UP000031443	8469	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chelonia	Chelonia mydas
UP000694404	106734	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chelonoidis	Chelonoidis abingdonii
UP000694403	8475	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chelydra	Chelydra serpentina
UP000287033	137246	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chiloscyllium	Chiloscyllium punctatum
UP000694398	34839	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chinchilla	Chinchilla lanigera
UP000557271	227182	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chionis	Chionis minor
UP000053330	187382	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chlamydotis	Chlamydotis macqueenii
UP000276834	44316	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloebia	Chloebia gouldiae
UP000029965	60711	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chlorocebus	Chlorocebus sabaeus
UP000579406	176938	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloroceryle	Chloroceryle aenea
UP000614263	1218682	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloropsis	Chloropsis cyanopogon
UP000640999	667144	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloropsis	Chloropsis hardwickii
UP000568556	118183	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chordeiles	Chordeiles acutipennis
UP000524558	287016	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chroicocephalus	Chroicocephalus maculipennis
UP000694380	8478	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chrysemys	Chrysemys picta bellii
UP000504623	185453	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chrysochloris	Chrysochloris asiatica
UP000694543	9089	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chrysolophus	Chrysolophus pictus
UP000541181	1352770	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chunga	Chunga burmeisteri
UP000542434	1118524	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ciccaba	Ciccaba nigrolineata
UP000537039	52777	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ciconia	Ciconia maguari
UP000590623	161649	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cinclus	Cinclus mexicanus
UP000562238	321084	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Circaetus	Circaetus pectoralis
UP000546986	52622	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cisticola	Cisticola juncidis
UP000727407	1594786	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Clarias	Clarias magur
UP000580879	47695	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Climacteris	Climacteris rufus
UP000517678	254448	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cnemophilus	Cnemophilus loriae
UP000525205	110676	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cochlearius	Cochlearius cochlearius
UP000198419	9014	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Colinus	Colinus virginianus
UP000053615	57412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Colius	Colius striatus
UP000298787	240159	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Collichthys	Collichthys lucidus
UP000233080	336983	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Colobus	Colobus angolensis palliatus
UP000053872	8932	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Columba	Columba livia
UP000530263	115618	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Columbina	Columbina picui
UP000659062	797021	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Copsychus	Copsychus sechellarum
UP000502089	861768	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Coregonus	Coregonus sp. 'balchen'
UP000052976	85066	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corvus	Corvus brachyrhynchos
UP000603793	1196302	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corvus	Corvus moneduloides
UP000621168	103954	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corythaeola	Corythaeola cristata
UP000526942	103956	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corythaixoides	Corythaixoides concolor
UP000504630	56716	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cottoperca	Cottoperca gobio
UP000694412	93934	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Coturnix	Coturnix japonica
UP000001075	10029	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cricetulus	Cricetulus griseus
UP000594220	8502	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crocodylus	Crocodylus porosus
UP000475037	9678	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crocuta	Crocuta crocuta
UP000549499	33598	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crotophaga	Crotophaga sulcirostris
UP000534426	48396	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crypturellus	Crypturellus undulatus
UP000545332	458187	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crypturellus	Crypturellus soui
UP000053760	55661	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cuculus	Cuculus canorus
UP000694410	156563	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyanistes	Cyanistes caeruleus
UP000694396	181631	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyanoderma	Cyanoderma ruficeps
UP000694565	8103	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyclopterus	Cyclopterus lumpus
UP000265120	244447	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cynoglossus	Cynoglossus semilaevis
UP000265020	28743	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyprinodon	Cyprinodon variegatus
UP000694384	7962	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyprinus	Cyprinus carpio
UP000000437	7955	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Danio	Danio rerio
UP000316079	623744	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Danionella	Danionella translucida
UP000557315	254528	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Daphoenositta	Daphoenositta chrysoptera
UP000521322	243059	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dasyornis	Dasyornis broadbenti
UP000248483	9749	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Delphinapterus	Delphinapterus leucas
UP000694580	299321	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Denticeps	Denticeps clupeoides
UP000523279	667154	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dicaeum	Dicaeum eximium
UP000694389	13489	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dicentrarchus	Dicentrarchus labrax
UP000551758	77932	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Diceros	Diceros bicornis minor
UP000537234	450177	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dicrurus	Dicrurus megarhynchus
UP000081671	10020	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dipodomys	Dipodomys ordii
UP000518266	36200	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dissostichus	Dissostichus mawsoni
UP000660704	237420	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Donacobius	Donacobius atricapilla
UP000543287	8790	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dromaius	Dromaius novaehollandiae
UP000586671	458190	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dromas	Dromas ardeola
UP000525319	626378	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Drymodes	Drymodes brunneopygia
