sp	id	d	p	c	o	f	g	s
UP000053875	118200	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dryobates	Dryobates pubescens
UP000604080	85069	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dryoscopus	Dryoscopus gambensis
UP000472264	173247	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Echeneis	Echeneis naucrates
UP000526889	2585810	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Edolisoma	Edolisoma coerulescens
UP000053119	188379	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Egretta	Egretta garzetta
UP000623542	1463973	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Elachura	Elachura formosa
UP000314983	8005	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Electrophorus	Electrophorus electricus
UP000770717	57060	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eleutherodactylus	Eleutherodactylus coqui
UP000580681	337179	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Emberiza	Emberiza fucata
UP000248482	391180	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Enhydra	Enhydra lutris kenyoni
UP000637704	176039	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eolophus	Eolophus roseicapilla
UP000694388	7764	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eptatretus	Eptatretus burgeri
UP000002281	9796	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Equus	Equus caballus
UP000694387	83772	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Equus	Equus asinus asinus
UP000079721	9365	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Erinaceus	Erinaceus europaeus
UP000529965	37610	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Erithacus	Erithacus rubecula
UP000694620	27687	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Erpetoichthys	Erpetoichthys calabaricus
UP000545329	1112836	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Erpornis	Erpornis zantholeuca
UP000532437	107208	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Erythrocercus	Erythrocercus mccallii
UP000243164	9764	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eschrichtius	Eschrichtius robustus
UP000265140	8010	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Esox	Esox lucius
UP000327493	54343	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Etheostoma	Etheostoma spectabile
UP000583613	91767	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eubucco	Eubucco bourcierii
UP000533954	8805	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eudromia	Eudromia elegans
UP000716595	79626	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eudyptes	Eudyptes chrysocome
UP000782854	37083	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eudyptula	Eudyptula minor
UP000540150	461239	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eulacestoma	Eulacestoma nigropectus
UP000054232	54383	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eurypyga	Eurypyga helias
UP000541249	325343	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Eurystomus	Eurystomus gularis
UP000694562	100819	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Falco	Falco tinnunculus
UP000534626	254539	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Falcunculus	Falcunculus frontatus
UP000011712	9685	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Felis	Felis catus
UP000016665	59894	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ficedula	Ficedula albicollis
UP000520463	1118560	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Formicarius	Formicarius rufipectus
UP000632118	37042	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Fregata	Fregata magnificens
UP000563060	79628	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Fregetta	Fregetta grallaria
UP000028990	885580	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Fukomys	Fukomys damarensis
UP000053806	30455	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Fulmarus	Fulmarus glacialis
UP000529852	463165	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Furnarius	Furnarius figulus
UP000694546	8049	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gadus	Gadus morhua
UP000566440	1109041	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Galbula	Galbula dea
UP000700334	202257	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Galemys	Galemys pyrenaicus
UP000000539	9031	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gallus	Gallus gallus
UP000250572	33528	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gambusia	Gambusia affinis
UP000007635	69293	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gasterosteus	Gasterosteus aculeatus
UP000054313	37040	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gavia	Gavia stellata
UP000531151	8947	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Geococcyx	Geococcyx californianus
UP000504602	48883	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Geospiza	Geospiza fortis
UP000515159	260995	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Geotrypetes	Geotrypetes seraphini
UP000583049	43316	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Glareola	Glareola pratincola
UP000591073	78217	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Glaucidium	Glaucidium brasilianum
UP000291020	38772	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gopherus	Gopherus agassizii
UP000694390	1825980	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gopherus	Gopherus evgoodei
UP000001519	9595	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gorilla	Gorilla gorilla gorilla
UP000694680	441366	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gouania	Gouania willdenowi
UP000591535	117165	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Grallaria	Grallaria varia
UP000575029	266360	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Grantiella	Grantiella picta
UP000640762	9117	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Grus	Grus americana
UP000515161	8218	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gymnodraco	Gymnodraco acuticeps
UP000579941	9132	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Gymnorhina	Gymnorhina tibicen
UP000648918	342381	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Halcyon	Halcyon senegalensis
UP000054379	8969	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Haliaeetus	Haliaeetus albicilla
UP000264840	8153	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Haplochromis	Haplochromis burtoni
UP000590868	54369	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Heliornis	Heliornis fulica
UP000518305	243314	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hemiprocne	Hemiprocne comata
UP000555649	56343	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Herpetotheres	Herpetotheres cachinnans
UP000006813	10181	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Heterocephalus	Heterocephalus glaber
UP000571567	225398	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Himantopus	Himantopus himantopus
UP000527178	68497	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hippolais	Hippolais icterina
UP000694851	186990	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hipposideros	Hipposideros armiger
UP000269221	333673	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hirundo	Hirundo rustica rustica
UP000585317	43150	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hirundo	Hirundo rustica
UP000005640	9606	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Homo	Homo sapiens
UP000558460	2585811	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Horornis	Horornis vulcanius
UP000314982	62062	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hucho	Hucho hucho
UP000557268	208073	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hylia	Hylia prasina
UP000812440	247094	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hymenochirus	Hymenochirus boettgeri
UP000574191	589841	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Hypocryptadius	Hypocryptadius cinnamomeus
UP000587655	425643	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ibidorhyncha	Ibidorhyncha struthersii
UP000005215	43179	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ictidomys	Ictidomys tridecemlineatus
UP000542689	461245	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ifrita	Ifrita kowaldi
UP000534634	201329	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Illadopsis	Illadopsis cleaveri
UP000557230	545262	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Indicator	Indicator maculatus
UP000530962	175120	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Irena	Irena cyanogastra
UP000550086	54508	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Jacana	Jacana jacana
UP000694385	51337	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Jaculus	Jaculus jaculus
UP000694408	40217	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Junco	Junco hyemalis
UP000264800	37003	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Kryptolebias	Kryptolebias marmoratus
UP000290572	84645	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Labeo	Labeo rohita
UP000261660	56723	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Labrus	Labrus bergylta
UP000618051	245042	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lamprotornis	Lamprotornis superbus
UP000547499	28713	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lanius	Lanius ludovicianus
UP000424527	215358	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Larimichthys	Larimichthys crocea
UP000314980	8187	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lates	Lates calcarifer
UP000694406	8630	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Laticauda	Laticauda laticaudata
UP000008672	7897	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Latimeria	Latimeria chalumnae
UP000524007	36275	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Leiothrix	Leiothrix lutea
UP000018468	7918	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lepisosteus	Lepisosteus oculatus
UP000694569	445787	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Leptobrachium	Leptobrachium leishanense
UP000558164	2585812	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Leptocoma	Leptocoma aspasia
UP000245341	9713	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Leptonychotes	Leptonychotes weddellii
UP000053001	188344	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Leptosomus	Leptosomus discolor
UP000522331	127929	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Leucopsar	Leucopsar rothschildi
UP000233556	1758121	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Limosa	Limosa lapponica baueri
UP000314294	230148	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Liparis	Liparis tanakae
UP000265300	118797	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lipotes	Lipotes vexillifer
UP000228934	8400	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lithobates	Lithobates catesbeianus
UP000572057	187437	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Locustella	Locustella ochotensis
UP000197619	299123	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lonchura	Lonchura striata domestica
UP000533896	172689	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lophotis	Lophotis ruficrista
UP000564784	64802	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Loxia	Loxia curvirostra
UP000007646	9785	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Loxodonta	Loxodonta africana
UP000386466	191816	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lynx	Lynx pardinus
UP000472241	61383	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Lynx	Lynx canadensis
UP000006718	9544	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Macaca	Macaca mulatta
UP000233100	9541	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Macaca	Macaca fascicularis
UP000233120	9545	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Macaca	Macaca nemestrina
