code	d	p	c	o	f	g	s
UP000005239	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Pristionchus	Pristionchus pacificus
UP000270296	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Soboliphyme	Soboliphyme baturini
UP000298663	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Steinernema	Steinernema carpocapsae
UP000035680	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Strongyloides	Strongyloides venezuelensis
UP000035681	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Strongyloides	Strongyloides stercoralis
UP000035682	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Strongyloides	Strongyloides ratti
UP000270094	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Strongylus	Strongylus vulgaris
UP000230423	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Teladorsagia	Teladorsagia circumcincta
UP000276776	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Thelazia	Thelazia callipaeda
UP000031036	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Toxocara	Toxocara canis
UP000054630	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella nelsoni
UP000054721	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella nativa
UP000054843	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella papuae
UP000055024	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella zimbabwensis
UP000055048	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella murrelli
UP000054783	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella patagoniensis
UP000054653	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella britovi
UP000054673	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella sp. T6
UP000054681	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella sp. T9
UP000054776	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella spiralis
UP000054815	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella pseudospiralis
UP000054924	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichinella	Trichinella sp. T8
UP000053709	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Trichuris	Trichuris suis
UP000270924	Eukaryota	Amorphea	Opisthokonta	Metazoa	Nematoda	Wuchereria	Wuchereria bancrofti
UP000009022	Eukaryota	Amorphea	Opisthokonta	Metazoa	Placozoa	Trichoplax	Trichoplax adhaerens
UP000253843	Eukaryota	Amorphea	Opisthokonta	Metazoa	Placozoa	Trichoplax	Trichoplax sp. H2
UP000008909	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Clonorchis	Clonorchis sinensis
UP000281553	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Dibothriocephalus	Dibothriocephalus latus
UP000019149	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Echinococcus	Echinococcus granulosus
UP000272942	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Echinostoma	Echinostoma caproni
UP000230066	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Fasciola	Fasciola hepatica
UP000316759	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Fasciola	Fasciola gigantica
UP000728185	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Fasciolopsis	Fasciolopsis buski
UP000274429	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Hydatigera	Hydatigera taeniaeformis
UP000274504	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Hymenolepis	Hymenolepis diminuta
UP000215902	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Macrostomum	Macrostomum lignano
UP000267029	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Mesocestoides	Mesocestoides corti
UP000054324	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Opisthorchis	Opisthorchis viverrini
UP000308267	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Opisthorchis	Opisthorchis felineus
UP000324629	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Paragonimus	Paragonimus westermani
UP000748531	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Paragonimus	Paragonimus heterotremus
UP000822476	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Paragonimus	Paragonimus skrjabini miyazakii
UP000784294	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Protopolystoma	Protopolystoma xenopodis
UP000278807	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Rodentolepis	Rodentolepis nana
UP000275846	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistocephalus	Schistocephalus solidus
UP000269396	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma mattheei
UP000277204	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma margrebowiei
UP000279833	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma curassoni
UP000008854	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma mansoni
UP000290809	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma bovis
UP000311919	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma japonicum
UP000471633	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Schistosoma	Schistosoma haematobium
UP000422442	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Sparganum	Sparganum proliferum
UP000550142	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Spirometra	Spirometra erinaceieuropaei
UP000282613	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Taenia	Taenia asiatica
UP000280995	Eukaryota	Amorphea	Opisthokonta	Metazoa	Platyhelminthes	Trichobilharzia	Trichobilharzia regenti
UP000007879	Eukaryota	Amorphea	Opisthokonta	Metazoa	Porifera	Amphimedon	Amphimedon queenslandica
UP000030755	Eukaryota	Amorphea	Opisthokonta	Fungi	Rozellida	Rozella	Rozella allomycis CSF55
UP000053537	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Acanthisitta	Acanthisitta chloris
UP000257200	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Acanthochromis	Acanthochromis polyacanthus
UP000694541	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Accipiter	Accipiter nisus
UP000504626	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Acinonyx	Acinonyx jubatus
UP000289886	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Acipenser	Acipenser ruthenus
UP000549775	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Acrocephalus	Acrocephalus arundinaceus
UP000628412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aegithalos	Aegithalos caudatus
UP000559068	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aegotheles	Aegotheles bennettii
UP000008912	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ailuropoda	Ailuropoda melanoleuca
UP000571582	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Alaudala	Alaudala cheleensis
UP000829720	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Albula	Albula goreensis
UP000824540	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Albula	Albula glossodonta
UP000536033	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Alca	Alca torda
UP000557196	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aleadryas	Aleadryas rufinucha
UP000562322	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Alectura	Alectura lathami
UP000050525	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Alligator	Alligator mississippiensis
UP000189705	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Alligator	Alligator sinensis
UP000541332	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Alopecoenas	Alopecoenas beccarii
UP000531168	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Amazona	Amazona guildingii
UP000051836	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Amazona	Amazona aestiva
UP000694522	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Amazona	Amazona collaria
UP000593565	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ameiurus	Ameiurus melas
UP000257160	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Amphiprion	Amphiprion ocellaris
UP000265080	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Amphiprion	Amphiprion percula
UP000281406	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anabarilius	Anabarilius grahami
UP000265040	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anabas	Anabas testudineus
UP000296049	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anas	Anas platyrhynchos
UP000694549	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anas	Anas zonorhyncha
UP000016666	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anas	Anas platyrhynchos platyrhynchos
UP000528690	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anhinga	Anhinga rufa
UP000657035	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anhinga	Anhinga anhinga
UP000001646	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anolis	Anolis carolinensis
UP000694426	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anser	Anser brachyrhynchus
UP000694521	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anser	Anser cygnoides
UP000567872	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anseranas	Anseranas semipalmata
UP000554720	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Anthoscopus	Anthoscopus minutus
UP000053620	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Antrostomus	Antrostomus carolinensis
UP000233020	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aotus	Aotus nancymaae
UP000054244	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Apaloderma	Apaloderma vittatum
UP000575874	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aphelocoma	Aphelocoma coerulescens
UP000053286	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aptenodytes	Aptenodytes forsteri
UP000751161	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aptenodytes	Aptenodytes patagonicus
UP000694424	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Apteryx	Apteryx owenii
UP000694841	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Apteryx	Apteryx mantelli mantelli
UP000472275	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aquila	Aquila chrysaetos chrysaetos
UP000567570	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aramus	Aramus guarauna
UP000560386	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ardeotis	Ardeotis kori
UP000541811	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Arenaria	Arenaria interpres
UP000525565	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Asarcornis	Asarcornis scutulata
UP000018467	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Astyanax	Astyanax mexicanus
UP000472269	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Athene	Athene cunicularia
UP000518911	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Atlantisia	Atlantisia rogersi
UP000736164	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Atractosteus	Atractosteus spatula
UP000658642	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Atrichornis	Atrichornis clamosus
UP000192220	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Austrofundulus	Austrofundulus limnaeus
UP000504639	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Aythya	Aythya fuligula
UP000319801	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bagarius	Bagarius yarrelli
UP000528411	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaeniceps	Balaeniceps rex
UP000437017	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaenoptera	Balaenoptera physalus
UP000694857	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaenoptera	Balaenoptera musculus
UP000261681	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balaenoptera	Balaenoptera acutorostrata scammoni
UP000053309	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Balearica	Balearica regulorum gibbericeps
UP000237246	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bambusicola	Bambusicola thoracicus
UP000578343	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Baryphthengus	Baryphthengus martii
UP000515208	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bison	Bison bison bison
UP000532545	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bombycilla	Bombycilla garrulus
UP000009136	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos taurus
UP000011080	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos mutus
UP000515132	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos indicus
UP000314981	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos indicus x Bos taurus
UP000694520	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bos	Bos grunniens
UP000540762	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Brachypodius	Brachypodius atriceps
UP000520535	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Brachypteracias	Brachypteracias leptosomus
UP000694567	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bubo	Bubo bubo
UP000534107	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bucco	Bucco capensis
UP000054064	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Buceros	Buceros rhinoceros silvestris
UP000551127	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Bucorvus	Bucorvus abyssinicus
UP000566314	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Buphagus	Buphagus erythrorhynchus
UP000574691	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Burhinus	Burhinus bistriatus
UP000694555	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Buteo	Buteo japonicus
UP000694556	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cairina	Cairina moschata domestica
UP000603627	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calcarius	Calcarius ornatus
UP000694419	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calidris	Calidris pygmaea
UP000576729	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callaeas	Callaeas wilsoni
UP000198323	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callipepla	Callipepla squamata
UP000008225	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callithrix	Callithrix jacchus
UP000314986	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callorhinchus	Callorhinchus milii
UP000286641	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Callorhinus	Callorhinus ursinus
UP000546235	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Caloenas	Caloenas nicobarica
UP000535403	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calonectris	Calonectris borealis
UP000054308	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calypte	Calypte anna
UP000642973	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Calyptomena	Calyptomena viridis
UP000694382	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Camarhynchus	Camarhynchus parvulus
UP000299084	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Camelus	Camelus dromedarius
UP000030684	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Camelus	Camelus ferus
UP000614027	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Campylorhamphus	Campylorhamphus procurvoides
UP000694391	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Canis	Canis lupus dingo
UP000002254	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Canis	Canis lupus familiaris
UP000291000	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Capra	Capra hircus
UP000515129	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Carassius	Carassius auratus
UP000583740	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cardinalis	Cardinalis cardinalis
UP000054116	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cariama	Cariama cristata
UP000189704	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Carlito	Carlito syrichta
UP000694852	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Castor	Castor canadensis
UP000694540	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Catagonus	Catagonus wagneri
UP000053745	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cathartes	Cathartes aura
UP000519684	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Catharus	Catharus fuscescens
UP000694563	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Catharus	Catharus ustulatus
UP000005447	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cavia	Cavia porcellus
UP000233040	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cebus	Cebus imitator
UP000517892	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Centropus	Centropus unirufus
UP000543364	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cephalopterus	Cephalopterus ornatus
UP000233060	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cercocebus	Cercocebus atys
UP000631545	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cercotrichas	Cercotrichas coryphoeus
UP000611277	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Certhia	Certhia familiaris
UP000536092	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Certhia	Certhia brachydactyla
UP000242450	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cervus	Cervus elaphus hippelaphus
UP000631465	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cervus	Cervus hanglu yarkandensis
UP000524451	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cettia	Cettia cetti
UP000519239	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ceuthmochares	Ceuthmochares aereus
UP000586704	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ceyx	Ceyx cyanopectus
UP000563107	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chaetops	Chaetops frenatus
UP000541605	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chaetorhynchus	Chaetorhynchus papuensis
UP000031515	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chaetura	Chaetura pelagica
UP000503349	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Channa	Channa argus
UP000504632	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chanos	Chanos chanos
UP000053858	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Charadrius	Charadrius vociferus
UP000537522	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chauna	Chauna torquata
UP000031443	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chelonia	Chelonia mydas
UP000694404	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chelonoidis	Chelonoidis abingdonii
UP000694403	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chelydra	Chelydra serpentina
UP000287033	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chiloscyllium	Chiloscyllium punctatum
UP000694398	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chinchilla	Chinchilla lanigera
UP000557271	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chionis	Chionis minor
UP000053330	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chlamydotis	Chlamydotis macqueenii
UP000276834	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloebia	Chloebia gouldiae
UP000029965	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chlorocebus	Chlorocebus sabaeus
UP000579406	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloroceryle	Chloroceryle aenea
UP000614263	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloropsis	Chloropsis cyanopogon
UP000640999	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chloropsis	Chloropsis hardwickii
UP000568556	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chordeiles	Chordeiles acutipennis
UP000524558	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chroicocephalus	Chroicocephalus maculipennis
UP000694380	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chrysemys	Chrysemys picta bellii
UP000504623	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chrysochloris	Chrysochloris asiatica
UP000694543	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chrysolophus	Chrysolophus pictus
UP000541181	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Chunga	Chunga burmeisteri
UP000542434	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ciccaba	Ciccaba nigrolineata
UP000537039	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Ciconia	Ciconia maguari
UP000590623	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cinclus	Cinclus mexicanus
UP000562238	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Circaetus	Circaetus pectoralis
UP000546986	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cisticola	Cisticola juncidis
UP000727407	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Clarias	Clarias magur
UP000580879	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Climacteris	Climacteris rufus
UP000517678	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cnemophilus	Cnemophilus loriae
UP000525205	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cochlearius	Cochlearius cochlearius
UP000198419	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Colinus	Colinus virginianus
UP000053615	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Colius	Colius striatus
UP000298787	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Collichthys	Collichthys lucidus
UP000233080	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Colobus	Colobus angolensis palliatus
UP000053872	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Columba	Columba livia
UP000530263	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Columbina	Columbina picui
UP000659062	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Copsychus	Copsychus sechellarum
UP000502089	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Coregonus	Coregonus sp. 'balchen'
UP000052976	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corvus	Corvus brachyrhynchos
UP000603793	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corvus	Corvus moneduloides
UP000621168	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corythaeola	Corythaeola cristata
UP000526942	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Corythaixoides	Corythaixoides concolor
UP000504630	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cottoperca	Cottoperca gobio
UP000694412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Coturnix	Coturnix japonica
UP000001075	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cricetulus	Cricetulus griseus
UP000594220	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crocodylus	Crocodylus porosus
UP000475037	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crocuta	Crocuta crocuta
UP000549499	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crotophaga	Crotophaga sulcirostris
UP000534426	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crypturellus	Crypturellus undulatus
UP000545332	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Crypturellus	Crypturellus soui
UP000053760	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cuculus	Cuculus canorus
UP000694410	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyanistes	Cyanistes caeruleus
UP000694396	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyanoderma	Cyanoderma ruficeps
UP000694565	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyclopterus	Cyclopterus lumpus
UP000265120	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cynoglossus	Cynoglossus semilaevis
UP000265020	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyprinodon	Cyprinodon variegatus
UP000694384	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Cyprinus	Cyprinus carpio
UP000000437	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Danio	Danio rerio
UP000316079	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Danionella	Danionella translucida
UP000557315	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Daphoenositta	Daphoenositta chrysoptera
UP000521322	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Dasyornis	Dasyornis broadbenti
